edition_id,lang,file_name,url,sha256,accessed_at
2003,pt,08_cceb_2003_em_vigor_em_2003_base_lse_2000.pdf,https://abep.org/wp-content/uploads/2024/02/08_cceb_2003_em_vigor_em_2003_base_lse_2000.pdf,340204923f4f6123f3c83af5c86f943b1e8c79a23b9ddb45beb73847b3041095,2026-09-10
2008,pt,07_cceb_2008_em_vigor_em_2008_base_lse_2005.pdf,https://abep.org/wp-content/uploads/2024/02/07_cceb_2008_em_vigor_em_2008_base_lse_2005.pdf,7b76cb93babf00f7e445a6e6bba00bdbd53a39369af0b14a705dba780e1fcea2,2026-09-10
2009,pt,06_cceb_2009_base_2006_2007_cceb_em_vigor_em_2009_base_lse_2006_2007.pdf,https://abep.org/wp-content/uploads/2024/02/06_cceb_2009_base_2006_2007_cceb_em_vigor_em_2009_base_lse_2006_2007.pdf,83939379a532cb15bce3f3c5ff879ac33cc54f951d365612f085c0781953be4a,2026-09-10
2010,pt,05_cceb_2008_em_vigor_em_2010_base_lse_2008.pdf,https://abep.org/wp-content/uploads/2024/02/05_cceb_2008_em_vigor_em_2010_base_lse_2008.pdf,784d1436d6d1977910f5ce5cfdc701ffedcd2779c2549ed85caec39e4e7a7518,2026-09-10
2011,pt,04_cceb_base_lse_2009.pdf,https://abep.org/wp-content/uploads/2024/02/04_cceb_base_lse_2009.pdf,05d82051b2177644af116dd442f957a64752a182ba8422ca55c92bc67df657be,2026-09-10
2012,pt,03_cceb_2012_base_lse_2010.pdf,https://abep.org/wp-content/uploads/2024/02/03_cceb_2012_base_lse_2010.pdf,c23d8c55b722be51c9da1a15b3a429c26918c7dde13e656acf1eac8b1e93416c,2026-09-10
2013,pt,02_cceb_2013.pdf,https://abep.org/wp-content/uploads/2024/02/02_cceb_2013.pdf,2641b0abc22ae7495def46d116fbbeea9f944f3241f0fe9339c388f536aedfd3,2026-09-10
2014,pt,09_cceb_2014.pdf,https://abep.org/wp-content/uploads/2024/02/09_cceb_2014.pdf,fcedcae1f87d42d347e6d03c61f5a906c18a1b26db40ca847a971e314a12230c,2026-09-10
2015,pt,01_cceb_2015.pdf,https://abep.org/wp-content/uploads/2024/02/01_cceb_2015.pdf,cfb9c4892527d1cfb35398af6269748c19d3780f355ed3b7180d8a59ecdb0dc3,2026-09-10
2016,pt,01_cceb_2016_11_04_16_final.pdf,https://abep.org/wp-content/uploads/2024/02/01_cceb_2016_11_04_16_final.pdf,80ef02347ffab309646aba4a48ef5608b5712396b789be0c799bbb2bb4521f86,2026-09-10
2018,pt,01_cceb_2018.pdf,https://abep.org/wp-content/uploads/2024/02/01_cceb_2018.pdf,d8d016d019046a6928da2933e8c2bb1375f50644a336f99d33aeab984b527b54,2026-09-10
2019,pt,01_cceb_2019.pdf,https://abep.org/wp-content/uploads/2024/02/01_cceb_2019.pdf,917af9e1c6e89310e3e78029ff024f955b1bd7567a9c4de6e037f4a40c06862d,2026-09-10
2020,pt,01_cceb_2020.pdf,https://abep.org/wp-content/uploads/2024/01/01_cceb_2020.pdf,cd69cd9f5f4d304da528f56e067591deebf081b3f60e09c269ac04b279f777a6,2026-09-10
2021,pt,01_cceb_2021.pdf,https://abep.org/wp-content/uploads/2024/01/01_cceb_2021.pdf,1d6be2d2b98688826d7334d5958526fe81d92df32f9c8fd9d1949e1d6fb0f29b,2026-09-10
2022,pt,01_cceb_2022.pdf,https://abep.org/wp-content/uploads/2024/09/01_cceb_2022.pdf,5cb22f21faecdb0aaeb8306b7fc689589866f7a452ade5c97989d877bbbd8876,2026-09-10
2024,pt,01_cceb_2024.pdf,https://abep.org/wp-content/uploads/2024/09/01_cceb_2024.pdf,0296670d83a0a73bc89982da6261796dff62d8608a0104f052658114fc9a680e,2026-09-10
2026,pt,CCEB_2026.pdf,https://abep.org/wp-content/uploads/2026/03/CCEB_2026.pdf,27407a0fb7f936d216d2789877bd898f2720b776c49607874c94b3718e7fbf15,2026-09-10
